,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
3497,25127855.25315971,0.01377987883712848,12197740.587871568,0.010286371932013757,2233282397.8790607,3.115955640385527,3548690.8520959364,0.0017015335521044733,71233119.65756693,0.05642573631390303,710400000.0,0.0
3498,2428598184.1986003,1.6439950508317782,177217672.14321873,0.16867273452580972,430579158.65419006,0.7594178731983047,65854815.91084003,0.030663834142079495,23305549.55278225,0.0229006331264235,710400000.0,0.0
3499,2735265079.3027716,1.6439950508317782,66322624.19470352,0.0581594942663011,4910007.129160455,0.00842934053456452,7811196.078973878,0.003849867349609102,689841005.4879053,0.5552920643493459,710400000.0,0.0
3500,0.0,0.0,517251983.0407188,0.5697257199785083,65168559.707470946,0.15139880640324527,2424995.329508603,0.0017864081803008872,98280575.38211924,0.1164138232015721,710400000.0,0.0
3501,0.0,0.0,10498361.583981061,0.010074857512252695,116991651.72999834,0.20132284973784373,51241558.089842066,0.02247050725492898,362345412.26136875,0.3138415694392269,710400000.0,0.0
3502,0.0,0.0,9383168.104551598,0.010323796975807343,187320764.31134343,0.3615603681200629,48853871.11146565,0.024876839763884974,140839727.55823705,0.1428597032047881,710400000.0,0.0
3503,128232853.92763719,0.0868048813437762,25929998.625359636,0.02659409993435936,112504863.83382022,0.21152383428606913,15446986.586302038,0.00825023678963438,122015397.83408278,0.11834317576016919,710400000.0,0.0
3504,0.0,0.0,115900209.76143107,0.10321380353666529,1017276322.8069,1.6175080356621447,20610401.375810713,0.009594987632013666,25122273.27441112,0.02258338761006227,710400000.0,0.0
3505,0.0,0.0,27208032.381955326,0.026449673741367807,1906851704.8846378,3.124067093675909,160173.4382519031,9.370541148039351e-05,154718985.05202192,0.1412244828257118,710400000.0,0.0
3506,0.0,0.0,9555284.059608204,0.010308269302582442,47238071.44963739,0.09338774032315489,28697674.985570766,0.014594091732520657,23008508.383666515,0.023439107322763136,710400000.0,0.0
3507,0.0,0.0,24979726.48082425,0.026458454874817065,62967802.43514457,0.12403249421902048,14513538.30500685,0.007900429704236746,56610583.32550213,0.057368697011013464,710400000.0,0.0
3508,0.0,0.0,169553654.53606755,0.17112422955973644,185818109.75234556,0.3571916889919747,6659884.069558857,0.003935996139057221,270782460.5977857,0.26936848627595184,710400000.0,0.0
3509,0.0,0.0,27875814.28008811,0.026642608827954044,20026724.694714617,0.03608185789188299,794281.8678097134,0.00046097022143792084,27820669.738175433,0.025615714217806486,710400000.0,0.0
3510,0.0,0.0,417139743.65651953,0.27530625708175166,106026695.96653743,0.14162769190052427,21078204.869759873,0.007784211867456223,56103529.33631468,0.03883747429911928,710400000.0,0.0
3511,0.0,0.0,63663198.420327395,0.05890945134699106,19984132.085876264,0.03594504481251336,16221669.552191056,0.007964904291981063,92988627.90911056,0.0841162394744416,710400000.0,0.0
3512,0.0,0.0,27339634.782542184,0.0266974343490768,209173174.67712232,0.3648980846795969,72512357.25166494,0.03256081444321491,92551845.20548132,0.08555553601126809,710400000.0,0.0
3513,0.0,0.0,20254148.60902013,0.01764453995525725,57854554.88954811,0.09350670309388054,1547864.5774720642,0.0007806890574092786,28324693.69236809,0.023585006319772554,710400000.0,0.0
3514,0.0,0.0,52583362.46835483,0.05828127671933659,293488789.96700317,0.5871564940052557,21949917.177312534,0.012307141383155959,161178140.35203442,0.1720089666161037,710400000.0,0.0
3515,0.0,0.0,87821356.06781124,0.10522445879389605,218566861.63596976,0.48612401002475103,5958921.093510001,0.004179630637088249,546143735.3185109,0.6125915780890803,710400000.0,0.0
3516,21863299.057807654,0.01377987883712848,948318090.2976605,0.7790206287883392,4696314.790665951,0.008474556397895263,5146846.2305113375,0.0027486396008098704,25424977.46814257,0.023284255630191594,710400000.0,0.0
